status	bytes	sha256	filename	note
LOCAL_ONLY_HASH_PINNED	1456960	da32e14d9e5a4efba5dd2dd9956f3eb86439d8885f64f56b3003ab27567b253d	GOUNSA_CORE_INPUTS_v060.tar.xz	Nine production/core Gounsa inputs; internal SHA256SUMS included
LOCAL_ONLY_HASH_PINNED	28120876	8520c3ee7f005ae8d488201c9ffafacfee3548fba023219bf32c4d061e7aba01	GOUNSA_v0_58_BLAZE_DBH_EXACTFUEL_3D_SOURCE_STAGE.zip	v0.58 fire/3D source-stage checkpoint
LOCAL_ONLY_HASH_PINNED	28165433	166b4b1fb27b0b1b2465c93adf667dacd39a576b4c85db864b52a4e853ddf5fe	GOUNSA_REAL_COUPLED_APP_WINDOWS_v0_52_SOURCE_STAGE_REBUILD_REQUIRED.zip	v0.52 source-stage checkpoint
LOCAL_ONLY_HASH_PINNED	90227346	20a19fbb83af64ec27e62678eb5e53eed8cccf52a0e3791fbcfa5deee5e1445f	GOUNSA_2022_COHERENT_NATIVE_v0_33_RESTART_SHARDS.tar.zst	Native restart shards
LOCAL_ONLY_HASH_PINNED	1489867	454d609dca620e05dd0fd42f97de2ecd2763971955264971a6ceaddba323858a	GOUNSA_2022_COHERENT_NATIVE_v0_33_RESULTS.zip	2022 results
LOCAL_ONLY_HASH_PINNED	18315053	c970712e8200b81fec7e4e18df11762f6b61dc6b341f5f29413db2e5bb41f350	GOUNSA_2023_ACTUAL_FROM_V033_v0_34_RESULTS.zip	2023 results
LOCAL_ONLY_HASH_PINNED	29213636	64eb360e98ca7be423d570297f0ef3d66b389681a474bd29f57da2e343cc82fc	GOUNSA_2024_ACTUAL_FROM_V033_v0_35_RESULTS.zip	2024 results
LOCAL_ONLY_HASH_PINNED	225833658	6f967877b054d88a3f445c08a4e84e0c006f0fbc4c9bc44efbb53470c53c57fb	coplas_siberia_yongneup_v0.6.29a1_final_audit_implementation.zip	Audited implementation/evidence package; contains no claim that original SIBERIA bytes may be redistributed
LOCAL_ONLY_HASH_PINNED	257436	604d8516baaa412ea926e4aa56d3cd4d14af8da09f6538ef4ead1a385d06d054	COPLAS_SIBERIA_v0629a1_SOURCE_ONLY.tar.xz	Source-only derivative preservation package
GITHUB_ACTIONS_ARTIFACT	40557136	f6f268a21e58c19cba47aa4d8002950e95decf87651d354e86b0de276e55c860	gounsa-v059-normalized-source-tree.zip	Already preserved as Actions artifact
GITHUB_ACTIONS_ARTIFACT	3672132	99c4e90e5b7e1b1a65975f3da2d772c8b5559f303cc9bbd08b341df6477ef461	gounsa-v059-normalized-backbone-windows-x64.zip	Already preserved as Actions artifact
GITHUB_ACTIONS_ARTIFACT	40577645	a4e759537a79781dcc5467de30ca6265137e7640c2280f6973f836660f8d3ef3	gounsa-v060-upstream-model-archive.zip	Official LPJ-GUESS 4.1.1 package + upstream provenance record; 90-day retention
EXTERNAL_CANONICAL_NO_REDISTRIBUTION			SIBERIA_8.3.3	DOI 10.1594/IEDA/100163; original source acquisition remains external under audited no-redistribution rule
